Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
388,10356,0,0,0,128665652,6418781,11549651,0,0,
389,10379,0,0,0,128933009,6431636,11572782,0,0,
390,10395,0,0,0,129130414,6440488,11588710,0,0,
391,10408,0,0,0,129263515,6447311,11600986,0,0,
392,10426,0,0,0,129440420,6456194,11616967,0,0,
393,10450,0,0,0,129778562,6473864,11648764,0,0,
394,10466,0,0,0,129921353,6481088,11661760,0,0,
395,10490,0,0,0,130220605,6495733,11688112,0,0,
396,10510,0,0,0,130484065,6509142,11712240,0,0,
397,10533,0,0,0,130765806,6523877,11738752,0,0,
398,10544,0,0,0,130905489,6530366,11750429,0,0,
399,10552,0,0,0,130962410,6532978,11755128,0,0,
400,10563,0,0,0,131085208,6539250,11766413,0,0,
401,10581,0,0,0,131307317,6549916,11785606,0,0,
402,10599,0,0,0,131497376,6557972,11800100,0,0,
403,10614,0,0,0,131792166,6573275,11827640,0,0,
404,10634,0,0,0,132219013,6595171,11867045,0,0,
405,10649,0,0,0,132370477,6602285,11879844,0,0,
406,10663,0,0,0,132567526,6612169,11897630,0,0,
407,10679,0,0,0,132750457,6621026,11913567,0,0,
408,10687,0,0,0,132917727,6629573,11928948,0,0,
409,10705,0,0,0,133136964,6640261,11948178,0,0,
410,10719,0,0,0,133356823,6651501,11968405,0,0,
411,10732,0,0,0,133518289,6658946,11981800,0,0,
412,10744,0,0,0,133670401,6666240,11994924,0,0,
413,10757,0,0,0,133794191,6671822,12004966,0,0,
414,10772,0,0,0,134024158,6683230,12025495,0,0,
415,10785,0,0,0,134226890,6694096,12045048,0,0,
416,10795,0,0,0,134339914,6699542,12054848,0,0,
417,10811,0,0,0,134479341,6706245,12066907,0,0,
418,10827,0,0,0,134638665,6713854,12080597,0,0,
419,10840,0,0,0,134784902,6720796,12093087,0,0,
420,10851,0,0,0,134986344,6731185,12111784,0,0,
421,10859,0,0,0,135059990,6734735,12118171,0,0,
422,10870,0,0,0,135181229,6740237,12128070,0,0,
423,10888,0,0,0,135329432,6747317,12140806,0,0,
424,10904,0,0,0,135521058,6756490,12157312,0,0,
425,10916,0,0,0,135734795,6767036,12176291,0,0,
426,10932,0,0,0,135968948,6778677,12197240,0,0,
427,10947,0,0,0,136154325,6787450,12213025,0,0,
428,10958,0,0,0,136264579,6792081,12221356,0,0,
429,10973,0,0,0,136495733,6803743,12242342,0,0,
430,10989,0,0,0,136721395,6815492,12263482,0,0,
431,11002,0,0,0,136837921,6821338,12274001,0,0,
432,11024,0,0,0,137216136,6841438,12310172,0,0,
433,11048,0,0,0,137491737,6855330,12335168,0,0,
434,11065,0,0,0,137709177,6865586,12353620,0,0,
435,11084,0,0,0,138124543,6887286,12392673,0,0,
436,11098,0,0,0,138293185,6895961,12408283,0,0,
437,11118,0,0,0,138550849,6908244,12430386,0,0,
438,11138,0,0,0,138859242,6924430,12459511,0,0,
439,11159,0,0,0,139051979,6933816,12476396,0,0,
440,11180,0,0,0,139250811,6944069,12494843,0,0,
441,11198,0,0,0,139553039,6959920,12523368,0,0,
442,11214,0,0,0,139762481,6970152,12541779,0,0,
443,11231,0,0,0,140053153,6985097,12568675,0,0,
444,11244,0,0,0,140249998,6995241,12586929,0,0,
445,11256,0,0,0,140392983,7002304,12599636,0,0,
446,11269,0,0,0,140546884,7009259,12612149,0,0,
447,11281,0,0,0,140723315,7017691,12627321,0,0,
448,11291,0,0,0,140848791,7023626,12638001,0,0,
449,11304,0,0,0,140967295,7029250,12648120,0,0,
450,11324,0,0,0,141279894,7045162,12676754,0,0,
451,11340,0,0,0,141464990,7054389,12693355,0,0,
452,11358,0,0,0,141659227,7064336,12711253,0,0,
453,11375,0,0,0,141834795,7073434,12727623,0,0,
454,11396,0,0,0,142021537,7082943,12744729,0,0,
455,11418,0,0,0,142319343,7098525,12772768,0,0,
456,11434,0,0,0,142757139,7121144,12813474,0,0,
457,11447,0,0,0,142907766,7128917,12827461,0,0,
458,11469,0,0,0,143191488,7143034,12852863,0,0,
459,11484,0,0,0,143360685,7151503,12868102,0,0,
460,11499,0,0,0,143548785,7159632,12882729,0,0,
